t,ax,ay,az,gx,gy,gz
22655, 0.65, -0.35, 0.70, 0.35, 0.00, -0.21
22656, 0.65, -0.35, 0.70, 0.77, -0.07, -0.07
22657, 0.65, -0.35, 0.70, 0.42, -0.14, 0.07
22658, 0.65, -0.35, 0.70, 0.49, -0.21, 0.14
22659, 0.65, -0.35, 0.70, 0.35, -0.14, 0.14
22660, 0.65, -0.35, 0.70, 0.56, 0.00, 0.07
22661, 0.65, -0.35, 0.70, 0.21, 0.14, -0.07
22662, 0.65, -0.35, 0.70, -0.14, 0.49, -0.07
22663, 0.65, -0.35, 0.70, 0.49, 0.14, 0.14
22664, 0.65, -0.35, 0.70, 0.42, 0.49, -0.28
22665, 0.65, -0.35, 0.70, 0.35, -0.21, -0.14
22666, 0.65, -0.35, 0.70, 0.42, 0.00, 0.28
22667, 0.65, -0.35, 0.70, 0.42, -0.14, 0.14
22668, 0.65, -0.35, 0.70, 0.21, -0.28, -0.14
22669, 0.64, -0.35, 0.70, 0.35, -0.42, 0.42
22670, 0.65, -0.35, 0.71, 0.63, -0.21, 0.21
22671, 0.65, -0.35, 0.70, 0.42, -0.49, 0.14
22672, 0.64, -0.35, 0.70, 0.49, -0.56, 0.21
22673, 0.65, -0.35, 0.70, 0.77, -0.84, 0.35
22674, 0.64, -0.35, 0.70, 0.56, -0.63, 0.49
22675, 0.64, -0.35, 0.70, 0.91, -0.84, 0.56
22676, 0.65, -0.35, 0.70, 0.70, -0.56, 0.49
22677, 0.64, -0.35, 0.70, 0.91, -0.77, 0.84
22678, 0.64, -0.35, 0.70, 0.91, -0.84, 0.98
22679, 0.64, -0.35, 0.70, 1.19, -1.33, 0.70
22680, 0.64, -0.35, 0.70, 1.33, -1.68, 0.56
22681, 0.64, -0.35, 0.71, 1.26, -2.66, 0.77
22682, 0.65, -0.35, 0.70, 0.42, -2.10, 0.56
22683, 0.65, -0.35, 0.70, 0.42, -2.38, 0.63
22684, 0.65, -0.35, 0.70, -0.07, -2.17, 0.56
22685, 0.64, -0.35, 0.70, 0.00, -2.24, 0.21
22686, 0.65, -0.35, 0.70, -0.14, -2.03, 0.21
22687, 0.65, -0.35, 0.70, -0.49, -2.38, 0.14
22688, 0.65, -0.35, 0.70, -0.21, -2.45, 0.21
22689, 0.65, -0.35, 0.70, -0.21, -2.52, 0.07
22690, 0.65, -0.35, 0.70, -0.21, -2.52, 0.07
22691, 0.65, -0.35, 0.70, -0.21, -2.10, 0.14
22692, 0.65, -0.35, 0.70, -0.14, -2.73, 0.00
22693, 0.65, -0.35, 0.70, -0.21, -1.68, 0.07
22694, 0.65, -0.35, 0.70, -0.28, -2.03, 0.28
22695, 0.65, -0.35, 0.70, -0.28, -1.82, -0.14
22696, 0.65, -0.35, 0.70, -0.14, -1.75, -0.07
22697, 0.65, -0.35, 0.70, -0.07, -2.03, 0.28
22698, 0.65, -0.35, 0.70, -0.28, -1.40, -0.14
22699, 0.65, -0.35, 0.70, -0.21, -1.75, 0.00
22700, 0.65, -0.35, 0.70, -0.42, -1.68, 0.07
