timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.65,-0.35,0.7,0.35,0.0,-0.21
20,0.65,-0.35,0.7,0.77,-0.07,-0.07
40,0.65,-0.35,0.7,0.42,-0.14,0.07
60,0.65,-0.35,0.7,0.49,-0.21,0.14
80,0.65,-0.35,0.7,0.35,-0.14,0.14
100,0.65,-0.35,0.7,0.56,0.0,0.07
120,0.65,-0.35,0.7,0.21,0.14,-0.07
140,0.65,-0.35,0.7,-0.14,0.49,-0.07
160,0.65,-0.35,0.7,0.49,0.14,0.14
180,0.65,-0.35,0.7,0.42,0.49,-0.28
200,0.65,-0.35,0.7,0.35,-0.21,-0.14
220,0.65,-0.35,0.7,0.42,0.0,0.28
240,0.65,-0.35,0.7,0.42,-0.14,0.14
260,0.65,-0.35,0.7,0.21,-0.28,-0.14
280,0.64,-0.35,0.7,0.35,-0.42,0.42
300,0.65,-0.35,0.71,0.63,-0.21,0.21
320,0.65,-0.35,0.7,0.42,-0.49,0.14
340,0.64,-0.35,0.7,0.49,-0.56,0.21
360,0.65,-0.35,0.7,0.77,-0.84,0.35
380,0.64,-0.35,0.7,0.56,-0.63,0.49
400,0.64,-0.35,0.7,0.91,-0.84,0.56
420,0.65,-0.35,0.7,0.7,-0.56,0.49
440,0.64,-0.35,0.7,0.91,-0.77,0.84
460,0.64,-0.35,0.7,0.91,-0.84,0.98
480,0.64,-0.35,0.7,1.19,-1.33,0.7
500,0.64,-0.35,0.7,1.33,-1.68,0.56
520,0.64,-0.35,0.71,1.26,-2.66,0.77
540,0.65,-0.35,0.7,0.42,-2.1,0.56
560,0.65,-0.35,0.7,0.42,-2.38,0.63
580,0.65,-0.35,0.7,-0.07,-2.17,0.56
600,0.64,-0.35,0.7,0.0,-2.24,0.21
620,0.65,-0.35,0.7,-0.14,-2.03,0.21
640,0.65,-0.35,0.7,-0.49,-2.38,0.14
660,0.65,-0.35,0.7,-0.21,-2.45,0.21
680,0.65,-0.35,0.7,-0.21,-2.52,0.07
700,0.65,-0.35,0.7,-0.21,-2.52,0.07
720,0.65,-0.35,0.7,-0.21,-2.1,0.14
740,0.65,-0.35,0.7,-0.14,-2.73,0.0
760,0.65,-0.35,0.7,-0.21,-1.68,0.07
780,0.65,-0.35,0.7,-0.28,-2.03,0.28
800,0.65,-0.35,0.7,-0.28,-1.82,-0.14
820,0.65,-0.35,0.7,-0.14,-1.75,-0.07
840,0.65,-0.35,0.7,-0.07,-2.03,0.28
860,0.65,-0.35,0.7,-0.28,-1.4,-0.14
880,0.65,-0.35,0.7,-0.21,-1.75,0.0
900,0.65,-0.35,0.7,-0.42,-1.68,0.07
920,0.65,-0.35,0.7,0.07,-1.82,0.21
940,0.65,-0.35,0.7,-0.07,-1.82,-0.07
960,0.65,-0.35,0.7,-0.07,-1.82,-0.07
980,0.65,-0.35,0.7,0.07,-1.61,0.21
1000,0.65,-0.35,0.7,0.07,-2.03,0.21
1020,0.65,-0.35,0.7,0.0,-1.4,0.07
1040,0.65,-0.35,0.69,-0.07,-1.4,0.14
1060,0.65,-0.35,0.7,0.0,-1.82,-0.14
1080,0.65,-0.35,0.7,-0.14,-1.26,0.35
1100,0.65,-0.35,0.7,0.35,-1.75,0.28
1120,0.65,-0.35,0.69,0.21,-1.54,-0.21
1140,0.65,-0.35,0.69,0.35,-1.61,0.42
1160,0.65,-0.35,0.7,0.35,-1.68,0.49
1180,0.65,-0.35,0.7,0.21,-1.19,0.28
1200,0.65,-0.35,0.7,0.98,0.35,0.42
1220,0.66,-0.35,0.69,0.28,0.0,0.63
1240,0.65,-0.35,0.69,0.35,0.14,0.35
1260,0.65,-0.35,0.7,0.49,-0.35,0.0
1280,0.65,-0.35,0.7,0.56,-0.42,0.0
1300,0.65,-0.35,0.7,1.26,-0.35,0.35
1320,0.65,-0.35,0.7,0.63,-0.14,0.21
1340,0.65,-0.35,0.69,0.35,-0.21,-0.07
1360,0.65,-0.35,0.7,0.7,0.14,0.14
1380,0.65,-0.35,0.7,0.35,0.0,0.07
1400,0.65,-0.35,0.7,-0.14,0.7,-0.14
1420,0.65,-0.35,0.7,0.42,0.7,-0.14
1440,0.65,-0.35,0.7,0.42,0.28,0.07
1460,0.65,-0.35,0.7,0.84,-0.07,0.28
1480,0.65,-0.35,0.7,0.7,0.0,0.21
1500,0.65,-0.35,0.7,0.63,-0.35,0.14
1520,0.65,-0.35,0.7,0.63,-0.28,0.42
1540,0.65,-0.35,0.7,0.7,0.07,0.14
1560,0.64,-0.35,0.7,0.49,-0.42,0.14
1580,0.65,-0.35,0.7,0.14,-0.49,0.14
1600,0.64,-0.35,0.7,0.49,-0.49,0.21
1620,0.64,-0.35,0.7,0.63,-0.84,0.35
1640,0.64,-0.35,0.7,1.05,-1.19,0.42
1660,0.65,-0.35,0.7,0.7,-0.56,0.49
1680,0.64,-0.35,0.7,1.33,-0.77,1.05
1700,0.65,-0.35,0.7,1.33,-0.84,1.26
1720,0.64,-0.36,0.7,1.47,-1.4,0.7
1740,0.64,-0.35,0.7,1.26,-1.89,0.35
1760,0.64,-0.35,0.71,0.84,-2.73,0.98
1780,0.64,-0.35,0.7,0.91,-2.66,0.98
1800,0.64,-0.35,0.7,0.28,-2.45,0.42
1820,0.64,-0.35,0.7,0.07,-2.38,0.56
1840,0.64,-0.35,0.7,-0.07,-2.87,0.63
1860,0.65,-0.35,0.7,-0.14,-2.38,0.21
1880,0.65,-0.35,0.7,-0.49,-2.45,0.14
1900,0.65,-0.35,0.7,-0.42,-2.94,0.14
1920,0.65,-0.35,0.7,-0.14,-2.73,0.14
1940,0.65,-0.35,0.7,-0.91,-1.96,-0.14
1960,0.65,-0.35,0.7,0.07,-2.59,0.28
1980,0.65,-0.35,0.7,-0.28,-2.03,0.0
2000,0.65,-0.35,0.7,-0.14,-2.03,-0.07
2020,0.65,-0.35,0.7,-0.35,-1.4,0.35
2040,0.65,-0.35,0.7,-0.07,-1.68,-0.07
2060,0.65,-0.35,0.7,-0.28,-1.47,-0.42
2080,0.65,-0.35,0.7,-0.07,-1.54,0.21
2100,0.65,-0.35,0.7,0.14,-1.54,0.42
2120,0.65,-0.35,0.7,-0.21,-1.75,-0.07
2140,0.65,-0.35,0.7,-0.42,-1.4,0.07
2160,0.65,-0.35,0.7,0.07,-1.82,0.42
2180,0.65,-0.35,0.7,0.14,-1.47,0.0
2200,0.65,-0.35,0.69,0.21,-1.96,-0.14
2220,0.65,-0.35,0.7,-0.28,-1.54,0.07
2240,0.65,-0.35,0.7,0.07,-2.17,0.14
2260,0.65,-0.35,0.69,0.14,-1.75,0.14
2280,0.65,-0.35,0.69,0.28,-1.61,0.56
2300,0.65,-0.35,0.7,0.35,-2.38,0.49
2320,0.65,-0.35,0.7,0.28,-1.75,0.56
2340,0.65,-0.35,0.7,-0.07,-1.68,0.49
2360,0.65,-0.35,0.7,-0.07,-1.75,0.21
2380,0.65,-0.35,0.69,0.0,-1.75,-0.07
2400,0.65,-0.35,0.7,0.28,-1.89,0.21
2420,0.65,-0.35,0.7,0.0,-1.61,0.07
2440,0.65,-0.35,0.69,0.21,-1.75,0.14
2460,0.65,-0.35,0.7,0.28,-1.54,0.56
2480,0.66,-0.35,0.69,0.98,-0.35,0.63
2500,0.66,-0.35,0.69,0.42,-0.21,0.14
2520,0.65,-0.35,0.69,0.35,-0.14,0.07
2540,0.65,-0.35,0.69,0.42,-0.21,0.14
2560,0.65,-0.35,0.7,0.21,0.0,-0.07
2580,0.65,-0.35,0.7,0.0,0.35,-0.28
2600,0.65,-0.35,0.69,0.42,0.21,-0.07
2620,0.65,-0.35,0.7,0.35,0.49,-0.14
2640,0.65,-0.35,0.7,0.56,0.35,-0.21
2660,0.65,-0.35,0.7,0.14,0.84,-0.28
2680,0.65,-0.35,0.7,0.21,1.12,-0.63
2700,0.65,-0.35,0.7,0.21,0.56,-0.28
2720,0.65,-0.35,0.7,0.7,0.7,-0.07
2740,0.64,-0.35,0.7,0.7,0.7,0.21
