t,ax,ay,az,gx,gy,gz
1088, -0.45, -0.02, -0.86, 17.64, -8.05, -0.98
1089, -0.49, -0.19, -1.03, -0.21, -1.68, 19.18
1090, -0.46, -0.23, -0.94, -2.59, 24.22, 16.45
1091, -0.41, -0.19, -0.86, -8.19, 17.22, 16.52
1092, -0.36, -0.15, -0.85, -9.03, 3.57, 13.09
1093, -0.39, -0.14, -0.89, -12.32, -7.91, 10.78
1094, -0.40, -0.14, -0.92, -10.43, -4.27, 8.82
1095, -0.39, -0.13, -0.88, -4.27, 2.38, 4.13
1096, -0.39, -0.11, -0.86, -0.49, -1.19, 2.17
1097, -0.41, -0.12, -0.90, 2.17, -2.24, 5.60
1098, -0.41, -0.16, -0.90, 3.57, -4.41, 4.83
1099, -0.41, -0.19, -0.96, 7.49, 0.49, -12.25
1100, -0.34, -0.19, -0.89, 7.77, 6.09, -25.27
1101, -0.38, -0.12, -0.89, 8.19, -2.38, -28.56
1102, -0.40, -0.07, -0.90, 7.28, 3.99, -20.09
1103, -0.39, -0.07, -0.81, 13.44, 0.00, -3.85
1104, -0.47, -0.17, -0.97, -0.14, -18.76, 16.10
1105, -0.46, -0.23, -1.02, -9.66, 16.52, 25.41
1106, -0.42, -0.18, -0.88, -16.52, 16.80, 21.98
1107, -0.35, -0.13, -0.88, -16.94, 6.02, 14.84
1108, -0.37, -0.12, -0.89, -16.87, -1.54, 13.93
1109, -0.39, -0.10, -0.91, -16.38, -3.43, 15.33
1110, -0.41, -0.11, -0.93, -17.57, -0.35, 17.71
1111, -0.39, -0.12, -0.92, -13.44, 8.96, 15.96
1112, -0.25, -0.10, -0.89, -10.29, 8.19, 10.99
1113, -0.37, -0.10, -0.89, -5.74, 3.22, 5.18
1114, -0.39, -0.09, -0.91, 0.07, 0.77, 3.43
1115, -0.39, -0.10, -0.94, 3.64, 9.45, 2.31
1116, -0.36, -0.09, -0.89, 3.92, 2.73, -0.21
1117, -0.36, -0.09, -0.94, -3.57, -5.74, -3.85
1118, -0.41, -0.07, -0.98, -16.24, -6.09, 4.20
1119, -0.40, -0.09, -0.97, -20.58, 1.12, 12.88
1120, -0.38, -0.11, -0.95, -26.81, -1.89, 4.83
1121, -0.40, -0.05, -0.97, -37.66, -3.99, 11.48
1122, -0.39, -0.04, -0.94, -43.40, 1.26, 17.57
1123, -0.41, -0.00, -0.94, -56.35, 0.35, 25.97
1124, -0.42, 0.01, -0.97, -59.50, 5.25, 39.48
1125, -0.40, 0.00, -0.99, -61.32, 21.63, 38.22
1126, -0.35, 0.05, -0.93, -54.11, 33.32, 27.37
1127, -0.35, 0.10, -0.85, -44.10, 30.24, 22.82
1128, -0.30, 0.13, -0.85, -33.67, 15.96, 16.87
1129, -0.34, 0.17, -0.89, -25.62, 1.12, 11.97
1130, -0.33, 0.11, -0.94, -19.53, 7.21, 4.62
1131, -0.33, 0.12, -0.94, -14.21, 9.03, -1.26
1132, -0.29, 0.09, -0.90, -13.02, 2.59, -19.39
1133, -0.29, 0.12, -0.96, -21.63, -2.17, -27.51
1134, -0.33, 0.17, -1.02, -29.40, 14.00, -20.72
1135, -0.38, 0.21, -0.99, -31.43, 32.76, 13.02
1136, -0.38, 0.19, -0.95, -46.97, 18.06, 20.44
1137, -0.27, 0.11, -0.96, -41.30, 31.92, -0.35
1138, -0.27, 0.18, -0.96, -52.92, 31.43, -17.92
1139, -0.26, 0.26, -0.96, -58.24, 45.36, -11.55
1140, -0.28, 0.28, -0.93, -54.46, 50.47, -1.19
1141, -0.20, 0.25, -0.87, -47.25, 45.71, -3.29
1142, -0.15, 0.29, -0.75, -28.56, 26.81, -11.62
1143, -0.17, 0.33, -0.80, -27.79, -13.02, -27.16
1144, -0.24, 0.34, -1.01, -25.62, 16.73, -13.09
1145, -0.22, 0.38, -0.83, -18.76, 31.78, -10.29
1146, -0.18, 0.38, -0.81, -16.24, -10.22, -27.72
1147, -0.18, 0.33, -0.96, -9.80, 9.87, -39.20
1148, -0.14, 0.30, -0.90, -7.35, 13.93, -60.27
1149, -0.17, 0.31, -0.86, 1.05, 2.31, -65.24
1150, -0.20, 0.31, -0.84, 0.35, -6.16, -49.49
1151, -0.22, 0.31, -0.88, -4.69, -7.42, -25.06
1152, -0.28, 0.33, -0.91, -7.84, 0.35, -9.80
1153, -0.25, 0.35, -0.91, -9.24, 4.83, 9.59
1154, -0.21, 0.33, -0.88, -8.05, 6.79, 5.18
1155, -0.22, 0.35, -0.89, -5.67, -0.70, 2.24
1156, -0.23, 0.36, -0.94, -3.99, 3.99, 5.04
1157, -0.22, 0.34, -0.89, -3.43, 7.49, 3.57
1158, -0.20, 0.34, -0.87, -2.45, 0.28, 2.80
1159, -0.20, 0.35, -0.88, -1.68, -4.48, -2.66
1160, -0.22, 0.37, -0.92, -1.68, -2.59, 4.76
1161, -0.21, 0.34, -0.87, 0.70, 0.91, 0.56
1162, -0.21, 0.33, -0.89, 1.89, -5.25, 2.10
1163, -0.22, 0.34, -0.91, 3.71, -1.82, -1.40
1164, -0.22, 0.35, -0.90, 3.22, -2.24, -0.63
1165, -0.21, 0.34, -0.90, 2.38, -3.15, 1.12
1166, -0.22, 0.35, -0.90, 3.01, -2.17, 1.26
1167, -0.23, 0.34, -0.92, 3.01, -0.42, 3.15
1168, -0.22, 0.33, -0.91, 2.45, 0.98, 2.59
1169, -0.21, 0.35, -0.91, 3.43, 1.05, 1.47
1170, -0.21, 0.34, -0.90, 2.10, -1.12, 4.20
1171, -0.22, 0.35, -0.92, 1.82, 1.54, 3.43
1172, -0.21, 0.34, -0.91, 0.63, 2.52, 6.09
1173, -0.21, 0.34, -0.90, 0.14, 3.36, 8.61
1174, -0.21, 0.35, -0.92, -0.14, 2.31, 8.89
1175, -0.21, 0.35, -0.93, 0.42, 5.32, 11.69
1176, -0.18, 0.35, -0.91, 1.96, 8.26, 16.24
1177, -0.20, 0.35, -0.89, 0.63, 5.39, 16.17
1178, -0.19, 0.36, -0.90, 1.12, -1.26, 13.30
1179, -0.20, 0.35, -0.93, 0.28, -0.14, 11.90
1180, -0.18, 0.33, -0.91, -0.21, -0.14, 10.29
1181, -0.18, 0.33, -0.91, -2.03, -1.68, 5.88
1182, -0.16, 0.32, -0.91, -4.34, -4.20, 3.36
1183, -0.19, 0.35, -0.91, -1.54, -5.18, 2.52
1184, -0.20, 0.37, -0.89, 1.26, -2.10, 7.42
1185, -0.15, 0.33, -0.89, 2.03, -6.93, -0.70
1186, -0.21, 0.36, -0.95, 1.12, -1.75, 4.20
1187, -0.18, 0.33, -0.90, 2.10, 1.19, 2.24
1188, -0.18, 0.33, -0.91, 4.13, -3.29, 3.29
1189, -0.19, 0.32, -0.89, 3.43, 0.56, 0.84
1190, -0.17, 0.35, -0.87, 1.33, 0.77, 1.75
1191, -0.16, 0.35, -0.87, 1.61, -6.44, -2.31
1192, -0.18, 0.34, -0.92, -0.63, -7.14, -4.97
1193, -0.20, 0.35, -0.91, 2.03, -2.31, -2.03
1194, -0.19, 0.35, -0.90, 5.81, -4.97, -4.62
1195, -0.18, 0.34, -0.92, 4.76, -6.58, -4.41
1196, -0.19, 0.34, -0.91, 2.87, -3.29, -5.25
1197, -0.19, 0.34, -0.92, 1.96, -3.01, -2.24
1198, -0.20, 0.34, -0.92, 0.63, -2.38, -2.80
1199, -0.19, 0.34, -0.91, -0.49, -0.63, -3.57
1200, -0.20, 0.35, -0.91, 0.77, -1.96, -2.38
1201, -0.21, 0.35, -0.91, 0.56, 0.56, -1.19
1202, -0.20, 0.34, -0.91, 2.31, -0.07, -2.17
1203, -0.21, 0.33, -0.91, 2.52, 1.61, -3.71
1204, -0.20, 0.35, -0.90, 1.54, 0.63, -0.98
1205, -0.19, 0.35, -0.90, 2.03, 1.40, 0.21
1206, -0.19, 0.34, -0.90, 3.92, -2.87, -0.14
1207, -0.20, 0.33, -0.93, 3.78, -2.87, -1.54
1208, -0.20, 0.34, -0.91, 1.33, 1.12, -2.38
1209, -0.19, 0.33, -0.91, 3.15, -2.31, -1.19
1210, -0.20, 0.33, -0.92, 2.59, -1.61, -2.94
1211, -0.20, 0.34, -0.90, 3.36, -1.19, -1.33
1212, -0.19, 0.33, -0.90, 3.92, -1.75, -1.61
1213, -0.20, 0.34, -0.91, 4.90, -1.96, -1.33
1214, -0.19, 0.33, -0.92, 6.30, 0.07, -3.36
1215, -0.17, 0.31, -0.89, 11.90, -4.06, -5.04
