t,ax,ay,az,gx,gy,gz
25512, -0.54, 0.87, 0.01, -17.92, 0.63, -3.50
25513, -0.54, 0.85, 0.02, -11.83, -6.65, -2.10
25514, -0.52, 0.85, 0.05, -6.65, -6.37, -1.75
25515, -0.50, 0.83, 0.06, 5.88, -5.11, -4.20
25516, -0.50, 0.86, 0.04, 9.45, 0.00, -6.58
25517, -0.53, 0.85, 0.02, 9.45, 1.96, -7.00
25518, -0.55, 0.85, 0.02, 13.79, -8.75, -8.47
25519, -0.55, 0.86, 0.02, 15.61, -13.23, -6.58
25520, -0.54, 0.84, 0.04, 23.24, -9.38, -1.89
25521, -0.51, 0.83, 0.02, 28.42, -2.17, 0.70
25522, -0.52, 0.86, -0.00, 22.82, 3.64, -1.54
25523, -0.57, 0.87, -0.03, 20.72, 2.38, -1.47
25524, -0.55, 0.84, -0.03, 24.15, -7.00, -0.14
25525, -0.54, 0.83, -0.01, 26.81, -13.09, 2.24
25526, -0.53, 0.87, -0.03, 24.99, -8.40, 3.64
25527, -0.52, 0.86, -0.04, 21.42, -2.52, 4.34
25528, -0.52, 0.86, -0.05, 18.76, 3.92, 6.79
25529, -0.54, 0.88, -0.07, 6.93, 6.02, 7.49
25530, -0.53, 0.88, -0.08, -5.04, 6.02, 5.81
25531, -0.51, 0.87, -0.07, -15.61, 5.67, 2.87
25532, -0.52, 0.88, -0.06, -28.42, 7.00, 3.22
25533, -0.52, 0.90, -0.05, -39.13, 8.61, 1.12
25534, -0.50, 0.86, -0.02, -39.13, 10.01, -2.66
25535, -0.51, 0.86, 0.01, -35.77, 12.53, -7.14
25536, -0.53, 0.86, 0.02, -33.25, 17.08, -8.05
25537, -0.53, 0.84, 0.03, -29.19, 24.71, -4.27
25538, -0.54, 0.83, 0.02, -22.33, 25.55, -3.08
25539, -0.55, 0.85, 0.02, -11.27, 18.27, -3.22
25540, -0.52, 0.83, 0.01, -9.10, 18.55, -1.33
25541, -0.54, 0.84, 0.00, -8.89, 15.26, -2.45
25542, -0.57, 0.86, -0.00, -3.08, 1.26, -4.20
25543, -0.54, 0.84, 0.01, 3.08, -6.37, -2.17
25544, -0.53, 0.83, 0.02, 6.44, -5.11, -3.01
25545, -0.55, 0.86, 0.02, 13.23, -9.73, -2.80
25546, -0.55, 0.85, 0.02, 12.39, -6.09, 1.96
25547, -0.52, 0.83, 0.03, 16.94, -1.12, 3.85
25548, -0.52, 0.86, -0.00, 16.66, 5.67, 2.80
25549, -0.55, 0.86, -0.03, 8.33, 3.78, -1.68
