timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.42,1.03,-0.08,7.35,-26.25,11.55
20,-0.43,0.89,-0.01,13.72,-31.78,14.0
40,-0.45,0.94,-0.06,19.46,-30.52,33.25
60,-0.42,0.96,-0.06,-2.31,-35.0,50.96
80,-0.35,1.06,-0.01,-10.5,-44.24,43.68
100,-0.29,0.95,0.03,-16.73,-42.35,35.28
120,-0.26,0.94,0.07,-19.04,-25.34,31.64
140,-0.23,0.96,0.04,-9.73,-24.22,23.31
160,-0.26,0.97,0.05,-0.35,-14.21,14.07
180,-0.23,0.98,0.06,-14.14,-7.0,9.24
200,-0.23,0.91,0.03,-9.87,-0.63,5.25
220,-0.2,0.96,0.07,-9.45,5.25,-2.31
240,-0.25,0.99,0.06,-7.28,2.31,-6.3
260,-0.25,0.94,0.08,-5.67,6.93,-13.72
280,-0.26,0.98,0.07,-5.18,6.23,-15.19
300,-0.26,0.93,0.07,3.92,5.11,-23.38
320,-0.34,0.98,0.09,8.33,6.72,-27.3
340,-0.33,0.96,0.0,13.58,1.61,-27.02
360,-0.26,0.92,0.05,13.02,8.05,-34.51
380,-0.32,0.92,0.07,19.25,16.8,-29.4
400,-0.36,0.93,0.04,24.08,15.68,-20.51
420,-0.4,0.91,0.02,29.05,17.15,-12.11
440,-0.38,0.92,0.02,19.74,7.07,-3.15
460,-0.32,0.92,0.02,38.85,12.18,-7.63
480,-0.3,0.91,0.02,39.76,19.6,-13.79
500,-0.34,0.93,0.03,53.41,25.48,-26.11
520,-0.28,0.91,-0.02,78.54,67.62,-63.14
540,-0.59,0.9,-0.1,54.81,32.55,-24.15
560,-0.49,0.92,-0.23,31.78,-18.2,14.21
580,-0.54,0.93,-0.21,21.77,-34.86,27.44
600,-0.41,0.9,-0.19,4.9,-41.51,39.2
620,-0.43,0.94,-0.19,-2.8,-42.42,43.12
640,-0.37,0.93,-0.14,-13.93,-44.17,54.74
660,-0.31,0.89,-0.04,-18.06,-18.83,53.41
680,-0.27,0.99,-0.09,-7.56,-43.75,34.58
700,-0.27,0.98,-0.11,-11.97,-34.37,22.47
