t,ax,ay,az,gx,gy,gz
8547, 0.13, -0.64, 0.65, 52.43, 24.01, -33.53
8548, 0.25, -0.51, 0.74, 28.14, 32.76, -32.69
8549, 0.23, -0.54, 0.90, -8.12, 36.82, -42.14
8550, 0.37, -0.56, 0.81, -63.56, 40.74, -43.47
8551, 0.28, -0.59, 0.85, -67.20, 67.83, -29.05
8552, 0.08, -0.64, 0.83, -22.40, 45.08, 8.82
8553, 0.05, -0.55, 0.72, -18.76, -4.20, 36.96
8554, 0.09, -0.57, 0.87, -4.34, -24.50, 52.29
8555, 0.14, -0.53, 0.85, 11.62, -40.67, 54.39
8556, 0.16, -0.45, 0.83, -5.18, -55.44, 42.35
8557, 0.28, -0.51, 0.76, -39.69, -40.32, 20.23
8558, 0.28, -0.70, 0.68, -34.30, -22.05, 0.63
8559, 0.06, -0.75, 0.71, 41.30, -42.91, 15.82
8560, 0.18, -0.51, 0.72, 35.42, -52.99, 33.32
8561, 0.40, -0.64, 0.79, -29.05, -38.57, 16.73
8562, 0.42, -0.75, 0.77, -18.83, 2.10, 9.94
8563, 0.29, -0.65, 0.75, 20.51, -2.24, 17.22
8564, 0.30, -0.61, 0.83, -16.66, -2.24, 17.71
8565, 0.40, -0.43, 0.64, -14.28, 39.34, 24.08
8566, 0.30, -0.43, 0.57, -50.82, 47.60, 29.05
8567, 0.17, -0.43, 0.83, -52.01, 8.54, 64.19
8568, 0.43, -0.45, 0.57, -104.86, 1.89, 79.24
8569, 0.43, -0.41, 0.71, -99.05, 57.54, 74.27
8570, 0.47, -0.68, 0.33, -133.91, 86.66, 14.63
8571, 0.26, -1.12, 0.59, -125.44, 116.83, -25.76
8572, 0.16, -1.40, 0.70, -47.32, 131.46, -10.92
8573, -0.14, -1.12, 0.64, 52.01, 97.16, -16.59
8574, 0.20, -0.94, 0.92, 69.79, 120.26, -42.00
8575, 0.27, -0.86, 0.78, 58.94, 174.86, -83.79
8576, -0.00, -0.59, 0.42, 62.58, 160.16, -159.11
8577, -0.27, -0.69, 0.58, 110.32, 112.00, -190.47
8578, -0.31, -0.70, 0.87, 50.47, 139.02, -162.33
8579, -0.38, -0.76, 0.85, 6.86, 182.84, -131.81
8580, -0.07, -0.73, 0.60, 20.65, 123.13, -190.68
8581, 0.04, -0.80, 0.64, 48.30, 51.31, -272.23
8582, 0.12, -0.70, 0.90, 54.25, 114.45, -286.65
8583, 0.12, -0.77, 0.63, 35.63, 165.69, -276.85
8584, 0.00, -0.91, 0.85, 68.53, 151.48, -282.38
8585, 0.11, -0.68, 0.46, 68.32, 95.83, -254.80
8586, 0.06, -0.58, 0.53, -12.53, 74.83, -205.66
8587, 0.21, -0.57, 0.62, -64.05, 69.65, -115.85
8588, 0.03, -0.74, 0.73, -40.88, 40.74, -39.55
8589, 0.23, -0.88, 0.77, 47.18, -17.15, -33.32
8590, 0.28, -0.63, 0.90, 8.82, 1.61, -36.05
