timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.13,-0.64,0.65,52.43,24.01,-33.53
20,0.25,-0.51,0.74,28.14,32.76,-32.69
40,0.23,-0.54,0.9,-8.12,36.82,-42.14
60,0.37,-0.56,0.81,-63.56,40.74,-43.47
80,0.28,-0.59,0.85,-67.2,67.83,-29.05
100,0.08,-0.64,0.83,-22.4,45.08,8.82
120,0.05,-0.55,0.72,-18.76,-4.2,36.96
140,0.09,-0.57,0.87,-4.34,-24.5,52.29
160,0.14,-0.53,0.85,11.62,-40.67,54.39
180,0.16,-0.45,0.83,-5.18,-55.44,42.35
200,0.28,-0.51,0.76,-39.69,-40.32,20.23
220,0.28,-0.7,0.68,-34.3,-22.05,0.63
240,0.06,-0.75,0.71,41.3,-42.91,15.82
260,0.18,-0.51,0.72,35.42,-52.99,33.32
280,0.4,-0.64,0.79,-29.05,-38.57,16.73
300,0.42,-0.75,0.77,-18.83,2.1,9.94
320,0.29,-0.65,0.75,20.51,-2.24,17.22
340,0.3,-0.61,0.83,-16.66,-2.24,17.71
360,0.4,-0.43,0.64,-14.28,39.34,24.08
380,0.3,-0.43,0.57,-50.82,47.6,29.05
400,0.17,-0.43,0.83,-52.01,8.54,64.19
420,0.43,-0.45,0.57,-104.86,1.89,79.24
440,0.43,-0.41,0.71,-99.05,57.54,74.27
460,0.47,-0.68,0.33,-133.91,86.66,14.63
480,0.26,-1.12,0.59,-125.44,116.83,-25.76
500,0.16,-1.4,0.7,-47.32,131.46,-10.92
520,-0.14,-1.12,0.64,52.01,97.16,-16.59
540,0.2,-0.94,0.92,69.79,120.26,-42.0
560,0.27,-0.86,0.78,58.94,174.86,-83.79
580,-0.0,-0.59,0.42,62.58,160.16,-159.11
600,-0.27,-0.69,0.58,110.32,112.0,-190.47
620,-0.31,-0.7,0.87,50.47,139.02,-162.33
640,-0.38,-0.76,0.85,6.86,182.84,-131.81
660,-0.07,-0.73,0.6,20.65,123.13,-190.68
680,0.04,-0.8,0.64,48.3,51.31,-272.23
700,0.12,-0.7,0.9,54.25,114.45,-286.65
720,0.12,-0.77,0.63,35.63,165.69,-276.85
740,0.0,-0.91,0.85,68.53,151.48,-282.38
760,0.11,-0.68,0.46,68.32,95.83,-254.8
780,0.06,-0.58,0.53,-12.53,74.83,-205.66
800,0.21,-0.57,0.62,-64.05,69.65,-115.85
820,0.03,-0.74,0.73,-40.88,40.74,-39.55
840,0.23,-0.88,0.77,47.18,-17.15,-33.32
860,0.28,-0.63,0.9,8.82,1.61,-36.05
880,0.3,-0.68,0.87,34.72,-8.96,-19.95
900,0.38,-0.6,0.78,26.53,17.08,-10.08
920,0.22,-0.56,0.81,32.76,-1.19,0.56
940,0.18,-0.43,0.82,38.99,-8.33,9.59
960,0.18,-0.44,0.87,24.22,-14.7,8.68
980,0.21,-0.49,0.84,1.05,-10.64,10.5
1000,0.22,-0.49,0.87,9.38,8.54,11.06
1020,0.22,-0.58,0.76,20.51,6.37,1.05
1040,0.17,-0.69,0.85,38.43,-1.96,8.75
1060,0.15,-0.57,0.87,20.65,2.8,20.09
1080,0.18,-0.48,0.93,5.18,8.54,22.26
1100,0.17,-0.52,0.89,-7.28,16.59,21.77
1120,0.11,-0.52,0.83,7.0,19.74,18.55
1140,0.08,-0.51,0.86,9.8,16.73,8.4
1160,0.07,-0.49,0.87,12.53,6.44,2.03
1180,0.09,-0.44,0.87,7.49,2.52,-17.92
1200,0.12,-0.25,1.01,-11.27,12.81,10.08
1220,0.32,-0.55,0.93,-81.97,4.34,-57.96
1240,0.32,-0.58,0.8,-59.57,48.3,-33.04
1260,0.2,-0.43,0.94,-7.35,46.55,12.04
1280,0.08,-0.42,0.88,19.39,18.97,15.4
1300,0.08,-0.47,0.98,13.37,1.82,8.26
