t,ax,ay,az,gx,gy,gz
31190, 0.62, -0.24, 0.77, 3.36, -3.08, 4.34
31191, 0.62, -0.23, 0.77, 1.54, -4.76, 4.27
31192, 0.62, -0.24, 0.77, 2.03, -5.46, 3.57
31193, 0.63, -0.23, 0.77, 0.63, -4.34, 3.57
31194, 0.63, -0.24, 0.76, 0.28, -4.27, 3.50
31195, 0.63, -0.23, 0.76, 0.70, -3.57, 3.92
31196, 0.63, -0.24, 0.76, 0.21, -2.59, 3.78
31197, 0.63, -0.24, 0.77, 0.98, -2.10, 3.29
31198, 0.63, -0.24, 0.76, 1.26, -2.45, 2.73
31199, 0.63, -0.23, 0.76, 1.19, -1.82, 2.52
31200, 0.63, -0.24, 0.76, 0.63, -2.17, 1.96
31201, 0.63, -0.24, 0.76, 0.91, -2.24, 1.89
31202, 0.64, -0.24, 0.76, 0.35, -1.33, 1.68
31203, 0.64, -0.24, 0.76, 0.00, 0.14, 1.05
31204, 0.63, -0.25, 0.76, 0.49, -0.21, 1.05
31205, 0.63, -0.24, 0.76, 0.42, -0.70, 0.98
31206, 0.63, -0.24, 0.76, 0.07, 0.42, 0.84
31207, 0.63, -0.24, 0.76, 0.35, 0.07, 1.05
31208, 0.63, -0.24, 0.76, 0.28, 0.42, 0.63
31209, 0.62, -0.24, 0.76, 0.14, -0.07, 0.07
31210, 0.62, -0.24, 0.76, 0.42, -0.84, 0.21
31211, 0.63, -0.24, 0.76, 0.14, -0.49, -0.35
31212, 0.62, -0.25, 0.76, 0.42, -0.56, -0.28
31213, 0.63, -0.25, 0.77, 0.00, -0.14, 0.14
31214, 0.62, -0.24, 0.76, -0.28, -0.28, 0.35
31215, 0.62, -0.25, 0.76, 0.28, -1.40, 0.84
31216, 0.62, -0.25, 0.76, 0.28, -2.24, 1.33
31217, 0.62, -0.24, 0.76, 0.07, -1.75, 1.12
31218, 0.62, -0.24, 0.76, -0.35, -2.38, 0.91
31219, 0.63, -0.25, 0.76, -0.56, -2.52, 0.63
31220, 0.63, -0.25, 0.76, -0.35, -2.10, 0.28
31221, 0.63, -0.25, 0.76, -0.70, -2.24, 0.14
31222, 0.63, -0.24, 0.76, -0.98, -2.45, 0.35
31223, 0.63, -0.25, 0.76, -1.54, -2.24, 0.28
31224, 0.63, -0.24, 0.76, -1.19, -1.61, 0.49
31225, 0.63, -0.24, 0.76, -1.40, -1.19, 0.42
31226, 0.63, -0.25, 0.76, -1.19, -0.84, 0.14
31227, 0.63, -0.24, 0.76, -1.19, -0.84, 0.14
