timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.62,-0.24,0.77,3.36,-3.08,4.34
20,0.62,-0.23,0.77,1.54,-4.76,4.27
40,0.62,-0.24,0.77,2.03,-5.46,3.57
60,0.63,-0.23,0.77,0.63,-4.34,3.57
80,0.63,-0.24,0.76,0.28,-4.27,3.5
100,0.63,-0.23,0.76,0.7,-3.57,3.92
120,0.63,-0.24,0.76,0.21,-2.59,3.78
140,0.63,-0.24,0.77,0.98,-2.1,3.29
160,0.63,-0.24,0.76,1.26,-2.45,2.73
180,0.63,-0.23,0.76,1.19,-1.82,2.52
200,0.63,-0.24,0.76,0.63,-2.17,1.96
220,0.63,-0.24,0.76,0.91,-2.24,1.89
240,0.64,-0.24,0.76,0.35,-1.33,1.68
260,0.64,-0.24,0.76,0.0,0.14,1.05
280,0.63,-0.25,0.76,0.49,-0.21,1.05
300,0.63,-0.24,0.76,0.42,-0.7,0.98
320,0.63,-0.24,0.76,0.07,0.42,0.84
340,0.63,-0.24,0.76,0.35,0.07,1.05
360,0.63,-0.24,0.76,0.28,0.42,0.63
380,0.62,-0.24,0.76,0.14,-0.07,0.07
400,0.62,-0.24,0.76,0.42,-0.84,0.21
420,0.63,-0.24,0.76,0.14,-0.49,-0.35
440,0.62,-0.25,0.76,0.42,-0.56,-0.28
460,0.63,-0.25,0.77,0.0,-0.14,0.14
480,0.62,-0.24,0.76,-0.28,-0.28,0.35
500,0.62,-0.25,0.76,0.28,-1.4,0.84
520,0.62,-0.25,0.76,0.28,-2.24,1.33
540,0.62,-0.24,0.76,0.07,-1.75,1.12
560,0.62,-0.24,0.76,-0.35,-2.38,0.91
580,0.63,-0.25,0.76,-0.56,-2.52,0.63
600,0.63,-0.25,0.76,-0.35,-2.1,0.28
620,0.63,-0.25,0.76,-0.7,-2.24,0.14
640,0.63,-0.24,0.76,-0.98,-2.45,0.35
660,0.63,-0.25,0.76,-1.54,-2.24,0.28
680,0.63,-0.24,0.76,-1.19,-1.61,0.49
700,0.63,-0.24,0.76,-1.4,-1.19,0.42
720,0.63,-0.25,0.76,-1.19,-0.84,0.14
740,0.63,-0.24,0.76,-1.19,-0.84,0.14
760,0.63,-0.24,0.77,-1.61,-0.49,0.28
780,0.63,-0.25,0.76,-1.75,-0.84,0.14
800,0.62,-0.25,0.76,-1.4,-0.35,-0.49
820,0.63,-0.25,0.76,-1.47,-0.63,-0.56
840,0.63,-0.25,0.76,-0.56,-0.91,-0.49
860,0.64,-0.25,0.76,-1.12,0.77,-1.68
880,0.63,-0.26,0.75,-1.68,-0.98,-1.68
900,0.62,-0.26,0.76,0.14,-2.52,1.4
920,0.63,-0.25,0.76,0.49,-2.24,1.54
940,0.63,-0.25,0.76,-17.92,-2.17,0.7
960,0.63,-0.25,0.76,0.14,-1.82,0.28
980,0.63,-0.25,0.76,-0.56,-1.05,-0.14
1000,0.63,-0.24,0.76,-0.91,-0.63,-0.35
1020,0.63,-0.25,0.76,-1.4,-0.7,-0.77
1040,0.63,-0.25,0.76,-1.05,-1.19,-0.42
1060,0.63,-0.25,0.76,-0.56,-1.68,-0.07
1080,0.63,-0.25,0.76,-0.07,-1.12,0.42
1100,0.63,-0.25,0.76,-0.49,-1.47,0.56
1120,0.63,-0.25,0.76,-0.07,-1.26,0.14
1140,0.63,-0.25,0.76,-0.14,-1.47,0.21
1160,0.63,-0.25,0.76,-0.35,-1.19,-0.07
1180,0.63,-0.25,0.76,0.07,-0.77,0.0
1200,0.63,-0.25,0.76,-0.42,-0.56,-0.21
1220,0.62,-0.25,0.76,-0.28,-0.42,-0.07
1240,0.63,-0.26,0.76,-0.21,-0.77,0.21
1260,0.63,-0.25,0.76,-0.42,-0.49,0.07
1280,0.63,-0.25,0.76,-0.28,-0.56,-0.07
1300,0.63,-0.25,0.76,-0.07,-0.56,0.0
1320,0.63,-0.26,0.76,0.07,-0.7,0.35
1340,0.63,-0.26,0.76,0.14,-0.98,0.21
1360,0.63,-0.25,0.76,-0.07,-1.19,0.0
1380,0.63,-0.25,0.76,-0.35,-1.26,-0.07
1400,0.63,-0.25,0.76,0.28,-1.05,0.28
1420,0.62,-0.25,0.76,-0.21,-0.98,0.14
1440,0.62,-0.26,0.76,0.0,-1.4,-0.14
1460,0.63,-0.25,0.76,0.0,-1.61,-0.07
1480,0.63,-0.25,0.76,-0.07,-1.68,-0.07
