timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.45,-0.02,-0.86,17.64,-8.05,-0.98
20,-0.49,-0.19,-1.03,-0.21,-1.68,19.18
40,-0.46,-0.23,-0.94,-2.59,24.22,16.45
60,-0.41,-0.19,-0.86,-8.19,17.22,16.52
80,-0.36,-0.15,-0.85,-9.03,3.57,13.09
100,-0.39,-0.14,-0.89,-12.32,-7.91,10.78
120,-0.4,-0.14,-0.92,-10.43,-4.27,8.82
140,-0.39,-0.13,-0.88,-4.27,2.38,4.13
160,-0.39,-0.11,-0.86,-0.49,-1.19,2.17
180,-0.41,-0.12,-0.9,2.17,-2.24,5.6
200,-0.41,-0.16,-0.9,3.57,-4.41,4.83
220,-0.41,-0.19,-0.96,7.49,0.49,-12.25
240,-0.34,-0.19,-0.89,7.77,6.09,-25.27
260,-0.38,-0.12,-0.89,8.19,-2.38,-28.56
280,-0.4,-0.07,-0.9,7.28,3.99,-20.09
300,-0.39,-0.07,-0.81,13.44,0.0,-3.85
320,-0.47,-0.17,-0.97,-0.14,-18.76,16.1
340,-0.46,-0.23,-1.02,-9.66,16.52,25.41
360,-0.42,-0.18,-0.88,-16.52,16.8,21.98
380,-0.35,-0.13,-0.88,-16.94,6.02,14.84
400,-0.37,-0.12,-0.89,-16.87,-1.54,13.93
420,-0.39,-0.1,-0.91,-16.38,-3.43,15.33
440,-0.41,-0.11,-0.93,-17.57,-0.35,17.71
460,-0.39,-0.12,-0.92,-13.44,8.96,15.96
480,-0.25,-0.1,-0.89,-10.29,8.19,10.99
500,-0.37,-0.1,-0.89,-5.74,3.22,5.18
520,-0.39,-0.09,-0.91,0.07,0.77,3.43
540,-0.39,-0.1,-0.94,3.64,9.45,2.31
560,-0.36,-0.09,-0.89,3.92,2.73,-0.21
580,-0.36,-0.09,-0.94,-3.57,-5.74,-3.85
600,-0.41,-0.07,-0.98,-16.24,-6.09,4.2
620,-0.4,-0.09,-0.97,-20.58,1.12,12.88
640,-0.38,-0.11,-0.95,-26.81,-1.89,4.83
660,-0.4,-0.05,-0.97,-37.66,-3.99,11.48
680,-0.39,-0.04,-0.94,-43.4,1.26,17.57
700,-0.41,-0.0,-0.94,-56.35,0.35,25.97
720,-0.42,0.01,-0.97,-59.5,5.25,39.48
740,-0.4,0.0,-0.99,-61.32,21.63,38.22
760,-0.35,0.05,-0.93,-54.11,33.32,27.37
780,-0.35,0.1,-0.85,-44.1,30.24,22.82
800,-0.3,0.13,-0.85,-33.67,15.96,16.87
820,-0.34,0.17,-0.89,-25.62,1.12,11.97
840,-0.33,0.11,-0.94,-19.53,7.21,4.62
860,-0.33,0.12,-0.94,-14.21,9.03,-1.26
880,-0.29,0.09,-0.9,-13.02,2.59,-19.39
900,-0.29,0.12,-0.96,-21.63,-2.17,-27.51
920,-0.33,0.17,-1.02,-29.4,14.0,-20.72
940,-0.38,0.21,-0.99,-31.43,32.76,13.02
960,-0.38,0.19,-0.95,-46.97,18.06,20.44
980,-0.27,0.11,-0.96,-41.3,31.92,-0.35
1000,-0.27,0.18,-0.96,-52.92,31.43,-17.92
1020,-0.26,0.26,-0.96,-58.24,45.36,-11.55
1040,-0.28,0.28,-0.93,-54.46,50.47,-1.19
1060,-0.2,0.25,-0.87,-47.25,45.71,-3.29
1080,-0.15,0.29,-0.75,-28.56,26.81,-11.62
1100,-0.17,0.33,-0.8,-27.79,-13.02,-27.16
1120,-0.24,0.34,-1.01,-25.62,16.73,-13.09
1140,-0.22,0.38,-0.83,-18.76,31.78,-10.29
1160,-0.18,0.38,-0.81,-16.24,-10.22,-27.72
1180,-0.18,0.33,-0.96,-9.8,9.87,-39.2
1200,-0.14,0.3,-0.9,-7.35,13.93,-60.27
1220,-0.17,0.31,-0.86,1.05,2.31,-65.24
1240,-0.2,0.31,-0.84,0.35,-6.16,-49.49
1260,-0.22,0.31,-0.88,-4.69,-7.42,-25.06
1280,-0.28,0.33,-0.91,-7.84,0.35,-9.8
1300,-0.25,0.35,-0.91,-9.24,4.83,9.59
1320,-0.21,0.33,-0.88,-8.05,6.79,5.18
1340,-0.22,0.35,-0.89,-5.67,-0.7,2.24
1360,-0.23,0.36,-0.94,-3.99,3.99,5.04
1380,-0.22,0.34,-0.89,-3.43,7.49,3.57
1400,-0.2,0.34,-0.87,-2.45,0.28,2.8
1420,-0.2,0.35,-0.88,-1.68,-4.48,-2.66
1440,-0.22,0.37,-0.92,-1.68,-2.59,4.76
1460,-0.21,0.34,-0.87,0.7,0.91,0.56
1480,-0.21,0.33,-0.89,1.89,-5.25,2.1
1500,-0.22,0.34,-0.91,3.71,-1.82,-1.4
1520,-0.22,0.35,-0.9,3.22,-2.24,-0.63
1540,-0.21,0.34,-0.9,2.38,-3.15,1.12
1560,-0.22,0.35,-0.9,3.01,-2.17,1.26
1580,-0.23,0.34,-0.92,3.01,-0.42,3.15
1600,-0.22,0.33,-0.91,2.45,0.98,2.59
1620,-0.21,0.35,-0.91,3.43,1.05,1.47
1640,-0.21,0.34,-0.9,2.1,-1.12,4.2
1660,-0.22,0.35,-0.92,1.82,1.54,3.43
1680,-0.21,0.34,-0.91,0.63,2.52,6.09
1700,-0.21,0.34,-0.9,0.14,3.36,8.61
1720,-0.21,0.35,-0.92,-0.14,2.31,8.89
1740,-0.21,0.35,-0.93,0.42,5.32,11.69
1760,-0.18,0.35,-0.91,1.96,8.26,16.24
1780,-0.2,0.35,-0.89,0.63,5.39,16.17
1800,-0.19,0.36,-0.9,1.12,-1.26,13.3
1820,-0.2,0.35,-0.93,0.28,-0.14,11.9
1840,-0.18,0.33,-0.91,-0.21,-0.14,10.29
1860,-0.18,0.33,-0.91,-2.03,-1.68,5.88
1880,-0.16,0.32,-0.91,-4.34,-4.2,3.36
1900,-0.19,0.35,-0.91,-1.54,-5.18,2.52
1920,-0.2,0.37,-0.89,1.26,-2.1,7.42
1940,-0.15,0.33,-0.89,2.03,-6.93,-0.7
1960,-0.21,0.36,-0.95,1.12,-1.75,4.2
1980,-0.18,0.33,-0.9,2.1,1.19,2.24
