t,ax,ay,az,gx,gy,gz
12128, 0.27, 0.17, 0.98, 1.12, -15.47, 9.52
12129, 0.30, 0.11, 0.98, 4.34, -15.96, 4.06
12130, 0.30, 0.10, 0.97, 7.84, -13.09, -0.91
12131, 0.29, 0.09, 0.98, 7.91, -12.88, -4.76
12132, 0.30, 0.12, 0.97, 3.99, -11.83, -4.83
12133, 0.32, 0.17, 0.97, 5.81, -12.67, 0.28
12134, 0.30, 0.15, 0.95, 3.22, -13.02, 3.01
12135, 0.32, 0.12, 0.94, 2.10, -15.96, 0.77
12136, 0.37, 0.12, 0.95, 5.46, -13.79, -2.66
12137, 0.38, 0.12, 0.95, 9.45, -7.70, -6.72
12138, 0.38, 0.17, 0.96, 6.23, 2.80, -6.23
12139, 0.36, 0.17, 0.96, 3.01, 10.15, -4.27
12140, 0.33, 0.16, 0.95, 0.77, 13.51, -1.33
12141, 0.30, 0.14, 0.96, -0.98, 9.80, -0.63
12142, 0.30, 0.15, 0.97, -3.92, 9.24, -1.40
12143, 0.29, 0.14, 0.98, -5.25, 10.50, -1.54
12144, 0.30, 0.17, 0.97, -4.27, 14.35, 1.12
12145, 0.24, 0.14, 0.97, -1.33, 3.71, 0.14
12146, 0.26, 0.18, 0.97, -5.18, 7.49, 1.89
12147, 0.23, 0.18, 0.95, -4.62, -2.80, 5.11
12148, 0.25, 0.17, 0.96, -5.46, -9.38, 5.88
12149, 0.30, 0.16, 0.97, -2.66, -11.48, 3.22
12150, 0.31, 0.13, 0.97, -1.12, -9.59, 3.92
12151, 0.35, 0.13, 0.97, 1.26, -2.94, 3.85
12152, 0.36, 0.13, 0.97, 1.61, 5.74, 1.19
12153, 0.31, 0.12, 0.95, -0.77, 6.44, -0.42
12154, 0.32, 0.14, 0.97, -7.49, 10.78, -0.07
12155, 0.29, 0.11, 0.98, -3.36, 3.43, 0.49
12156, 0.30, 0.09, 0.96, -3.01, 6.79, 0.21
12157, 0.28, 0.10, 0.98, -0.56, 0.70, 2.03
12158, 0.27, 0.14, 0.97, -6.93, 2.38, 4.48
12159, 0.25, 0.15, 0.98, -6.30, -1.47, 7.49
12160, 0.24, 0.13, 0.98, -5.60, -9.03, 4.27
12161, 0.28, 0.12, 0.98, -4.34, -7.07, 1.12
12162, 0.32, 0.13, 0.98, -1.26, -1.05, -0.07
12163, 0.31, 0.14, 0.97, 1.89, 2.31, 1.82
12164, 0.28, 0.14, 0.97, 1.19, 2.80, 1.82
12165, 0.27, 0.14, 0.97, -0.77, -2.87, -0.07
12166, 0.28, 0.13, 0.98, -3.78, -3.15, -0.91
12167, 0.29, 0.11, 0.97, -3.50, -5.04, -1.54
12168, 0.30, 0.10, 0.96, -2.31, -2.80, -0.56
12169, 0.30, 0.09, 0.98, -1.40, -4.90, -0.91
12170, 0.29, 0.10, 0.98, -0.77, -2.66, 0.14
12171, 0.29, 0.12, 0.98, 0.98, -3.22, 1.33
12172, 0.28, 0.12, 0.97, 1.33, -4.41, 1.68
12173, 0.28, 0.13, 0.98, 0.77, -4.06, 2.80
12174, 0.28, 0.16, 0.97, 0.84, -5.88, 4.97
12175, 0.29, 0.13, 0.98, 0.84, -9.94, 1.68
12176, 0.31, 0.11, 0.98, 3.36, -7.91, -0.07
12177, 0.30, 0.09, 0.96, 6.37, -5.39, -0.28
12178, 0.30, 0.09, 0.98, 7.14, -8.96, -1.05
12179, 0.31, 0.13, 0.96, 6.16, -7.07, 2.10
12180, 0.30, 0.13, 0.96, 4.62, -11.06, 2.80
12181, 0.31, 0.11, 0.95, 6.16, -12.88, 1.61
12182, 0.34, 0.12, 0.96, 4.06, -12.53, -0.42
12183, 0.37, 0.12, 0.96, 7.42, -6.23, -4.48
12184, 0.38, 0.13, 0.96, 9.17, -0.77, -8.47
12185, 0.38, 0.16, 0.97, 5.18, 11.83, -9.10
12186, 0.33, 0.14, 0.97, 4.27, 13.02, -7.28
12187, 0.33, 0.15, 0.97, -1.05, 18.34, -8.40
12188, 0.31, 0.13, 0.97, 1.54, 15.33, -11.34
12189, 0.28, 0.14, 0.98, -2.17, 17.85, -10.78
12190, 0.28, 0.16, 0.98, -1.96, 19.25, -5.11
12191, 0.21, 0.14, 0.98, -0.56, 7.14, 1.33
12192, 0.22, 0.16, 0.97, -3.22, 3.22, 4.97
12193, 0.24, 0.18, 0.96, -5.04, 0.77, 5.18
12194, 0.24, 0.18, 0.97, -3.36, -6.58, 4.90
12195, 0.25, 0.17, 0.96, -1.54, -9.03, 5.39
12196, 0.26, 0.14, 0.97, 1.96, -14.49, 5.60
12197, 0.30, 0.12, 0.97, 2.03, -11.48, 4.06
12198, 0.35, 0.14, 0.97, 3.15, -1.19, 0.21
12199, 0.34, 0.14, 0.97, 1.89, 4.69, -1.47
12200, 0.30, 0.13, 0.96, -2.66, 6.02, 1.96
12201, 0.28, 0.14, 0.98, -6.93, 3.36, 4.41
12202, 0.27, 0.12, 0.97, -11.27, 0.56, 3.64
12203, 0.29, 0.11, 0.97, -9.87, -1.54, 3.08
12204, 0.28, 0.08, 0.97, -5.39, -4.83, 2.45
12205, 0.31, 0.10, 0.99, -2.45, -0.91, 0.42
12206, 0.29, 0.15, 0.98, -4.83, 5.18, 2.03
12207, 0.25, 0.15, 0.98, -3.43, 0.07, 3.64
12208, 0.24, 0.13, 0.97, -4.55, -3.99, 3.71
12209, 0.26, 0.11, 0.98, -3.29, -5.32, 1.96
12210, 0.29, 0.12, 0.98, -1.89, -2.31, 0.63
12211, 0.30, 0.13, 0.98, -0.07, 0.70, 1.40
12212, 0.27, 0.13, 0.97, -0.14, 0.63, 1.75
