timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.54,0.87,0.01,-17.92,0.63,-3.5
20,-0.54,0.85,0.02,-11.83,-6.65,-2.1
40,-0.52,0.85,0.05,-6.65,-6.37,-1.75
60,-0.5,0.83,0.06,5.88,-5.11,-4.2
80,-0.5,0.86,0.04,9.45,0.0,-6.58
100,-0.53,0.85,0.02,9.45,1.96,-7.0
120,-0.55,0.85,0.02,13.79,-8.75,-8.47
140,-0.55,0.86,0.02,15.61,-13.23,-6.58
160,-0.54,0.84,0.04,23.24,-9.38,-1.89
180,-0.51,0.83,0.02,28.42,-2.17,0.7
200,-0.52,0.86,-0.0,22.82,3.64,-1.54
220,-0.57,0.87,-0.03,20.72,2.38,-1.47
240,-0.55,0.84,-0.03,24.15,-7.0,-0.14
260,-0.54,0.83,-0.01,26.81,-13.09,2.24
280,-0.53,0.87,-0.03,24.99,-8.4,3.64
300,-0.52,0.86,-0.04,21.42,-2.52,4.34
320,-0.52,0.86,-0.05,18.76,3.92,6.79
340,-0.54,0.88,-0.07,6.93,6.02,7.49
360,-0.53,0.88,-0.08,-5.04,6.02,5.81
380,-0.51,0.87,-0.07,-15.61,5.67,2.87
400,-0.52,0.88,-0.06,-28.42,7.0,3.22
420,-0.52,0.9,-0.05,-39.13,8.61,1.12
440,-0.5,0.86,-0.02,-39.13,10.01,-2.66
460,-0.51,0.86,0.01,-35.77,12.53,-7.14
480,-0.53,0.86,0.02,-33.25,17.08,-8.05
500,-0.53,0.84,0.03,-29.19,24.71,-4.27
520,-0.54,0.83,0.02,-22.33,25.55,-3.08
540,-0.55,0.85,0.02,-11.27,18.27,-3.22
560,-0.52,0.83,0.01,-9.1,18.55,-1.33
580,-0.54,0.84,0.0,-8.89,15.26,-2.45
600,-0.57,0.86,-0.0,-3.08,1.26,-4.2
620,-0.54,0.84,0.01,3.08,-6.37,-2.17
640,-0.53,0.83,0.02,6.44,-5.11,-3.01
660,-0.55,0.86,0.02,13.23,-9.73,-2.8
680,-0.55,0.85,0.02,12.39,-6.09,1.96
700,-0.52,0.83,0.03,16.94,-1.12,3.85
720,-0.52,0.86,-0.0,16.66,5.67,2.8
740,-0.55,0.86,-0.03,8.33,3.78,-1.68
760,-0.57,0.85,-0.03,9.31,-8.68,-0.14
780,-0.53,0.85,-0.01,10.71,-11.13,0.49
800,-0.53,0.85,0.0,14.28,-7.84,-0.49
820,-0.54,0.84,-0.01,15.68,-3.01,2.24
840,-0.53,0.85,-0.03,18.06,-2.31,4.97
860,-0.55,0.9,-0.06,7.63,-1.54,5.95
880,-0.54,0.87,-0.04,-0.77,-0.77,6.09
900,-0.51,0.86,-0.03,-9.94,2.38,5.46
920,-0.53,0.89,-0.05,-19.88,4.97,5.04
940,-0.53,0.88,-0.05,-29.12,-3.5,-3.29
960,-0.52,0.86,0.01,-24.99,-9.66,-9.17
980,-0.5,0.83,0.04,-17.92,-0.07,-8.47
1000,-0.51,0.83,0.05,-12.81,18.69,-2.59
1020,-0.55,0.87,0.01,-10.29,25.83,0.63
1040,-0.55,0.86,-0.0,-18.13,24.57,1.96
1060,-0.54,0.85,-0.02,-19.18,13.09,-1.54
1080,-0.58,0.85,0.01,-9.59,-8.19,-6.37
1100,-0.53,0.81,0.06,6.3,-11.06,-2.1
1120,-0.5,0.84,0.04,4.48,6.65,-1.19
1140,-0.56,0.87,-0.01,5.95,6.37,-1.33
1160,-0.56,0.82,0.02,9.03,-9.45,-3.71
1180,-0.55,0.86,0.01,17.43,-15.96,-3.57
1200,-0.54,0.87,0.02,13.65,-9.1,1.19
1220,-0.52,0.84,0.02,7.84,3.08,2.24
1240,-0.54,0.86,-0.0,4.41,8.47,0.84
1260,-0.56,0.86,-0.02,1.12,2.59,0.98
1280,-0.54,0.83,-0.01,-6.93,-4.48,0.07
1300,-0.55,0.85,-0.01,-0.28,-9.52,0.07
1320,-0.55,0.84,0.02,0.63,-9.03,-0.07
