t,ax,ay,az,gx,gy,gz
21854, 0.67, -0.36, 0.70, -0.21, 4.34, -5.88
21855, 0.65, -0.37, 0.68, 1.33, 5.74, -7.42
21856, 0.65, -0.37, 0.70, -1.68, 3.57, -5.60
21857, 0.66, -0.35, 0.69, -3.71, 9.10, -6.37
21858, 0.66, -0.36, 0.69, 0.63, 10.57, -5.60
21859, 0.67, -0.37, 0.69, 2.17, 10.85, -5.32
21860, 0.64, -0.35, 0.69, 2.73, 7.77, -2.66
21861, 0.61, -0.34, 0.70, 1.75, -1.26, 0.35
21862, 0.62, -0.33, 0.71, 1.26, -5.39, 1.19
21863, 0.64, -0.34, 0.72, 2.03, -6.16, 1.82
21864, 0.65, -0.34, 0.72, -0.07, -1.26, 0.14
21865, 0.65, -0.34, 0.70, -1.05, 1.54, -1.12
21866, 0.64, -0.35, 0.70, -3.43, 3.71, -1.61
21867, 0.65, -0.35, 0.71, -4.97, 4.90, -1.96
21868, 0.65, -0.34, 0.71, -6.65, 5.60, -2.45
21869, 0.64, -0.34, 0.72, -7.21, 5.88, -1.89
21870, 0.65, -0.34, 0.70, -5.95, 4.76, 1.12
21871, 0.64, -0.35, 0.70, -4.13, 2.38, 2.80
21872, 0.63, -0.36, 0.70, -1.47, 0.42, 2.59
21873, 0.63, -0.35, 0.71, 1.47, -0.84, 2.24
21874, 0.64, -0.35, 0.71, 2.66, -0.56, 2.52
21875, 0.64, -0.35, 0.71, 3.57, 0.42, 2.31
21876, 0.63, -0.35, 0.71, 2.31, -0.07, 1.68
21877, 0.63, -0.35, 0.72, 0.98, -0.28, 1.26
21878, 0.63, -0.36, 0.71, 0.91, -0.21, 1.05
21879, 0.64, -0.36, 0.71, 0.49, 0.63, 1.19
21880, 0.63, -0.35, 0.71, 1.19, -0.14, 0.98
21881, 0.63, -0.36, 0.70, 1.89, -1.05, 0.21
21882, 0.63, -0.37, 0.70, 2.38, -3.43, 1.61
21883, 0.63, -0.36, 0.71, 6.23, -5.81, 5.25
21884, 0.61, -0.35, 0.71, 3.36, -7.49, 8.33
21885, 0.61, -0.34, 0.72, 0.14, -9.87, 8.89
21886, 0.63, -0.35, 0.72, -1.96, -10.64, 7.91
21887, 0.65, -0.36, 0.72, -1.33, -7.98, 4.97
21888, 0.64, -0.36, 0.71, 0.84, -8.12, 3.99
21889, 0.64, -0.36, 0.72, 2.94, -8.26, 3.22
21890, 0.65, -0.33, 0.71, -2.80, -3.64, 1.89
21891, 0.64, -0.34, 0.69, -3.64, -2.59, -1.05
21892, 0.64, -0.38, 0.68, -3.57, -3.78, -2.94
21893, 0.65, -0.38, 0.68, -0.42, -3.29, -3.57
21894, 0.66, -0.38, 0.69, -0.49, -1.82, -3.99
21895, 0.66, -0.38, 0.69, 0.98, -0.84, -3.85
21896, 0.65, -0.38, 0.68, 0.28, -0.91, -3.57
21897, 0.65, -0.37, 0.68, -0.56, -0.98, -3.01
21898, 0.65, -0.37, 0.69, 0.00, -1.19, -1.96
21899, 0.65, -0.36, 0.69, 0.28, -0.35, -1.54
21900, 0.65, -0.36, 0.69, 0.35, -0.28, -1.54
21901, 0.65, -0.36, 0.70, -0.07, 0.14, -0.91
21902, 0.64, -0.35, 0.70, 0.07, 0.07, -0.49
21903, 0.65, -0.35, 0.70, -1.89, 1.40, -1.12
21904, 0.64, -0.35, 0.70, -2.38, 2.03, -0.56
21905, 0.64, -0.35, 0.70, -1.26, -0.49, -0.28
21906, 0.65, -0.36, 0.70, -1.05, -0.49, -0.98
21907, 0.65, -0.36, 0.70, -0.98, -0.84, -0.56
21908, 0.64, -0.36, 0.70, -0.77, -1.61, -0.35
21909, 0.65, -0.36, 0.70, -0.70, -0.84, -0.35
21910, 0.64, -0.36, 0.69, -0.35, -1.40, 0.28
21911, 0.64, -0.37, 0.70, 0.07, -1.26, 0.42
21912, 0.64, -0.36, 0.70, 0.63, -1.12, -0.14
21913, 0.64, -0.36, 0.70, -0.28, -1.96, -0.07
21914, 0.65, -0.36, 0.70, -0.56, -2.59, 0.00
21915, 0.65, -0.36, 0.70, -0.28, -2.52, 0.14
21916, 0.65, -0.35, 0.70, 0.84, -0.98, 0.35
21917, 0.65, -0.36, 0.70, 0.21, -0.98, 0.56
21918, 0.64, -0.36, 0.69, 0.07, -0.77, 0.56
21919, 0.65, -0.36, 0.70, 0.42, -0.35, 0.00
21920, 0.65, -0.35, 0.70, 0.28, -0.49, 0.00
21921, 0.65, -0.36, 0.70, 0.21, -0.35, -0.07
21922, 0.65, -0.36, 0.69, 0.28, -0.56, 0.07
21923, 0.65, -0.36, 0.69, 0.21, -0.42, 0.00
21924, 0.65, -0.36, 0.70, 0.77, -1.05, 0.28
21925, 0.65, -0.36, 0.70, 0.84, 0.00, 0.35
21926, 0.65, -0.37, 0.70, 0.77, 0.07, 0.28
21927, 0.64, -0.36, 0.70, 0.63, 0.49, 0.07
21928, 0.65, -0.36, 0.70, 1.05, 0.42, 0.07
21929, 0.65, -0.36, 0.70, 1.19, -0.07, -0.21
21930, 0.64, -0.36, 0.70, 0.84, 0.21, -0.49
21931, 0.64, -0.36, 0.70, 1.33, 0.21, -1.05
21932, 0.64, -0.36, 0.70, 0.84, 0.14, -0.98
21933, 0.65, -0.36, 0.70, 0.98, 0.70, -0.70
21934, 0.64, -0.36, 0.70, 0.70, 0.84, -0.49
21935, 0.64, -0.36, 0.70, 0.91, 0.07, -0.63
21936, 0.65, -0.35, 0.70, 0.70, 0.42, -0.42
21937, 0.64, -0.36, 0.70, 0.98, 0.14, 0.14
21938, 0.64, -0.36, 0.70, 0.77, -0.56, 0.56
21939, 0.63, -0.36, 0.70, 1.33, -1.61, 0.77
21940, 0.64, -0.36, 0.70, 1.40, -2.66, 0.91
21941, 0.64, -0.36, 0.71, 0.77, -2.38, 0.98
21942, 0.64, -0.36, 0.71, 1.40, -3.08, 0.98
21943, 0.64, -0.35, 0.70, 0.35, -3.01, 0.77
21944, 0.64, -0.36, 0.70, 0.63, -3.15, 1.12
21945, 0.64, -0.36, 0.71, 0.56, -2.87, 0.91
21946, 0.64, -0.36, 0.70, 0.35, -3.85, 0.63
21947, 0.64, -0.36, 0.70, 0.21, -3.50, 0.77
21948, 0.64, -0.36, 0.70, 0.63, -4.20, 0.91
21949, 0.65, -0.36, 0.70, 0.49, -3.78, 0.84
21950, 0.65, -0.35, 0.70, 0.14, -3.85, 0.91
21951, 0.65, -0.35, 0.70, 0.28, -3.85, 0.77
21952, 0.65, -0.36, 0.70, 0.07, -3.08, 0.56
21953, 0.65, -0.36, 0.70, 0.35, -2.66, 0.63
21954, 0.65, -0.36, 0.70, 0.42, -2.24, 0.49
21955, 0.65, -0.35, 0.70, 0.07, -2.45, 0.35
21956, 0.65, -0.35, 0.70, -0.21, -1.75, 0.70
21957, 0.65, -0.36, 0.69, 0.49, -1.82, 0.49
21958, 0.65, -0.36, 0.69, 0.00, -2.03, -0.07
