timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.67,-0.36,0.7,-0.21,4.34,-5.88
20,0.65,-0.37,0.68,1.33,5.74,-7.42
40,0.65,-0.37,0.7,-1.68,3.57,-5.6
60,0.66,-0.35,0.69,-3.71,9.1,-6.37
80,0.66,-0.36,0.69,0.63,10.57,-5.6
100,0.67,-0.37,0.69,2.17,10.85,-5.32
120,0.64,-0.35,0.69,2.73,7.77,-2.66
140,0.61,-0.34,0.7,1.75,-1.26,0.35
160,0.62,-0.33,0.71,1.26,-5.39,1.19
180,0.64,-0.34,0.72,2.03,-6.16,1.82
200,0.65,-0.34,0.72,-0.07,-1.26,0.14
220,0.65,-0.34,0.7,-1.05,1.54,-1.12
240,0.64,-0.35,0.7,-3.43,3.71,-1.61
260,0.65,-0.35,0.71,-4.97,4.9,-1.96
280,0.65,-0.34,0.71,-6.65,5.6,-2.45
300,0.64,-0.34,0.72,-7.21,5.88,-1.89
320,0.65,-0.34,0.7,-5.95,4.76,1.12
340,0.64,-0.35,0.7,-4.13,2.38,2.8
360,0.63,-0.36,0.7,-1.47,0.42,2.59
380,0.63,-0.35,0.71,1.47,-0.84,2.24
400,0.64,-0.35,0.71,2.66,-0.56,2.52
420,0.64,-0.35,0.71,3.57,0.42,2.31
440,0.63,-0.35,0.71,2.31,-0.07,1.68
460,0.63,-0.35,0.72,0.98,-0.28,1.26
480,0.63,-0.36,0.71,0.91,-0.21,1.05
500,0.64,-0.36,0.71,0.49,0.63,1.19
520,0.63,-0.35,0.71,1.19,-0.14,0.98
540,0.63,-0.36,0.7,1.89,-1.05,0.21
560,0.63,-0.37,0.7,2.38,-3.43,1.61
580,0.63,-0.36,0.71,6.23,-5.81,5.25
600,0.61,-0.35,0.71,3.36,-7.49,8.33
620,0.61,-0.34,0.72,0.14,-9.87,8.89
640,0.63,-0.35,0.72,-1.96,-10.64,7.91
660,0.65,-0.36,0.72,-1.33,-7.98,4.97
680,0.64,-0.36,0.71,0.84,-8.12,3.99
700,0.64,-0.36,0.72,2.94,-8.26,3.22
720,0.65,-0.33,0.71,-2.8,-3.64,1.89
740,0.64,-0.34,0.69,-3.64,-2.59,-1.05
760,0.64,-0.38,0.68,-3.57,-3.78,-2.94
780,0.65,-0.38,0.68,-0.42,-3.29,-3.57
800,0.66,-0.38,0.69,-0.49,-1.82,-3.99
820,0.66,-0.38,0.69,0.98,-0.84,-3.85
