t,ax,ay,az,gx,gy,gz
10920, -0.18, -0.13, 0.94, 17.99, -3.08, 73.08
10921, -0.21, 0.01, 1.04, 2.66, 6.16, 58.38
10922, -0.26, 0.01, 1.05, -31.99, 27.44, 37.80
10923, -0.32, -0.18, 1.17, -64.75, 53.62, 4.55
10924, -0.50, -0.23, 1.17, -60.62, 35.07, -12.88
10925, -0.46, -0.21, 1.02, -59.22, -8.19, -36.75
10926, -0.36, -0.29, 0.91, -54.95, -51.03, -70.98
10927, -0.28, -0.34, 0.88, -51.52, -76.44, -70.00
10928, -0.13, -0.32, 0.97, -52.29, -29.75, -48.86
10929, -0.10, -0.37, 0.95, -35.21, 8.68, -45.85
10930, -0.09, -0.37, 0.93, -14.07, -3.43, -54.74
10931, -0.08, -0.28, 0.96, -1.68, -9.38, -54.74
10932, -0.02, -0.20, 0.94, -1.47, 9.80, -49.91
10933, 0.01, -0.18, 0.97, -12.81, 23.73, -53.41
10934, -0.05, -0.19, 0.77, -0.21, 20.93, -71.05
10935, -0.16, -0.29, 0.84, 15.47, -1.33, -89.04
10936, -0.08, -0.44, 0.85, 26.39, -2.10, -68.88
10937, -0.06, -0.49, 1.12, 35.28, 11.20, -48.30
10938, -0.00, -0.49, 1.09, 21.00, 51.94, -16.66
10939, -0.15, -0.60, 1.21, 6.86, 79.17, 15.89
10940, -0.24, -0.60, 1.07, 66.71, 47.39, 43.82
10941, -0.36, -0.43, 0.97, 99.68, 15.47, 72.80
10942, -0.31, -0.34, 0.81, 125.58, 26.53, 91.91
10943, -0.18, -0.28, 0.97, 97.44, 57.19, 78.82
10944, -0.19, -0.08, 0.93, 41.79, 71.82, 76.65
10945, -0.35, 0.03, 0.91, 20.16, 40.60, 70.84
10946, -0.28, -0.02, 0.88, -6.37, -18.76, 42.63
10947, -0.10, -0.04, 0.92, -20.86, -36.68, 38.36
10948, -0.03, -0.03, 0.96, -25.90, -16.66, 49.35
10949, -0.06, -0.06, 0.82, -16.94, -3.22, 66.85
10950, -0.21, -0.13, 0.87, 13.86, -13.09, 91.07
10951, -0.30, -0.05, 0.89, 12.81, -21.35, 91.07
10952, -0.34, 0.05, 1.09, -7.07, -12.25, 61.18
10953, -0.33, 0.05, 1.11, -71.47, 33.74, 0.77
10954, -0.57, -0.11, 1.34, -109.41, 68.18, -31.22
10955, -0.69, -0.13, 1.05, -87.99, -2.45, -64.26
10956, -0.52, -0.34, 0.87, -85.40, -78.82, -87.85
10957, -0.41, -0.24, 0.83, -93.66, -74.06, -77.14
10958, -0.26, -0.30, 1.00, -94.50, -47.60, -90.37
10959, -0.13, -0.37, 0.90, -77.00, -25.97, -101.29
10960, -0.08, -0.42, 0.88, -36.68, -24.01, -88.90
10961, -0.00, -0.34, 0.90, -4.27, -15.75, -71.47
10962, 0.05, -0.27, 0.90, 2.24, 7.84, -52.99
10963, -0.02, -0.24, 0.74, 15.89, 25.83, -56.14
10964, -0.16, -0.32, 0.79, 27.37, -6.16, -73.36
10965, -0.06, -0.50, 0.85, 45.78, -3.92, -66.57
10966, -0.02, -0.53, 1.14, 63.98, 32.34, -34.79
10967, -0.02, -0.53, 1.14, 36.33, 84.56, 4.83
10968, -0.27, -0.63, 1.24, 36.68, 94.57, 37.31
10969, -0.39, -0.62, 1.07, 119.07, 54.25, 67.41
10970, -0.45, -0.43, 0.89, 115.22, 24.85, 107.17
10971, -0.36, -0.29, 0.69, 95.27, 43.26, 103.53
10972, -0.31, -0.22, 0.88, 84.21, 51.73, 93.24
10973, -0.31, -0.07, 0.90, 46.34, 50.26, 84.84
10974, -0.33, 0.00, 0.90, 21.49, 30.45, 75.32
10975, -0.29, 0.05, 0.91, -1.12, -10.85, 53.41
10976, -0.16, 0.03, 0.92, -17.22, -22.89, 41.86
10977, -0.08, -0.02, 0.98, -18.83, -11.48, 46.13
10978, -0.13, -0.06, 0.83, 3.29, 0.77, 64.33
10979, -0.22, -0.05, 0.90, 11.62, -22.19, 75.39
10980, -0.34, 0.08, 0.94, 12.11, -14.98, 70.21
10981, -0.35, 0.09, 1.06, -10.71, 1.54, 32.34
10982, -0.41, -0.03, 1.14, -56.28, 41.93, -18.76
10983, -0.65, -0.12, 1.19, -81.20, 41.93, -38.99
10984, -0.65, -0.12, 1.00, -68.60, -16.59, -49.28
10985, -0.62, -0.15, 0.93, -58.24, -73.64, -62.37
