timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.98,-0.4,0.46,-30.03,-31.85,-4.83
20,0.94,-0.57,0.38,-47.81,-74.97,63.0
40,0.7,-0.81,0.08,-117.67,-132.72,13.44
60,0.8,-0.63,-0.08,-45.29,-187.95,-101.57
80,0.71,-0.39,-0.26,27.37,-81.55,-98.21
100,0.61,-0.44,-0.34,20.65,-13.79,-43.61
120,0.67,-0.39,-0.22,18.41,89.25,-6.02
140,0.66,-0.53,-0.08,17.15,99.33,11.48
160,0.7,-0.73,0.02,7.42,73.5,4.76
180,0.51,-0.72,0.02,0.07,14.98,-33.95
200,0.92,-0.75,0.2,-24.29,-41.37,-62.86
220,1.27,-0.54,0.45,-42.42,-81.06,-133.77
240,1.0,-0.15,0.46,3.5,-209.3,-139.65
260,1.17,0.09,0.31,-0.28,-310.24,-73.92
280,1.04,-0.05,-0.21,22.33,-338.31,-26.74
300,1.04,-0.17,-0.67,35.63,-227.36,-63.63
320,0.94,-0.18,-0.74,89.53,-52.43,-37.52
340,0.8,0.04,-0.5,95.83,25.9,-22.61
360,0.78,0.14,-0.19,72.31,23.73,8.82
380,0.87,-0.3,-0.13,29.4,-35.91,128.38
400,0.75,-0.73,-0.4,5.32,-43.96,42.63
420,0.69,-0.69,-0.43,56.21,10.64,-22.96
440,0.8,-0.59,-0.23,62.86,38.36,-28.49
460,0.82,-0.73,-0.16,95.62,-2.24,-37.59
480,0.56,-0.63,-0.21,85.61,-20.79,-76.16
500,0.72,-0.63,-0.16,64.05,-120.4,-128.1
520,0.53,-0.41,-0.36,43.33,-212.1,-138.67
540,0.47,-0.24,-0.72,-22.47,-278.32,-174.44
560,1.16,0.33,-1.82,25.06,-102.83,-64.05
580,0.5,0.06,-1.49,64.61,374.08,32.48
600,1.03,0.57,-0.78,58.87,491.68,82.95
620,0.76,0.23,-0.0,1.12,571.9,191.03
640,0.56,-0.2,0.72,87.92,606.55,280.0
660,0.64,-0.66,0.77,108.5,694.89,148.33
680,0.22,-0.33,0.68,115.92,841.12,67.97
700,0.04,-0.35,0.71,196.21,920.29,127.05
720,-0.42,-0.32,0.68,126.42,1106.07,209.79
740,-0.71,-0.4,1.6,108.57,1231.86,178.78
760,-1.07,-0.15,1.13,21.98,909.79,207.34
780,-0.56,-0.37,0.13,-64.61,867.02,81.2
800,-0.39,-0.2,-0.21,-170.24,937.65,19.25
820,-0.65,-0.13,-0.36,-3.78,895.3,-28.14
840,-1.01,-0.43,-0.68,94.08,634.06,127.19
860,-0.22,-0.41,-0.96,125.37,42.35,173.39
880,-0.19,-0.04,-0.95,32.55,-52.64,17.78
900,-0.58,0.05,-0.81,7.21,106.19,-78.61
920,-0.49,-0.13,-0.82,-48.23,178.78,-107.03
940,-0.75,-0.02,-0.9,-3.08,128.59,-63.28
960,-0.17,0.02,-0.95,32.13,107.45,-0.63
980,-0.17,0.03,-1.29,163.52,126.7,-34.93
1000,0.04,-0.14,-1.57,108.22,143.85,-144.83
1020,-0.06,-0.48,-1.07,-6.51,-44.8,-131.25
1040,-0.18,-0.59,-1.02,36.33,-191.66,-148.33
1060,0.02,-0.38,-1.18,36.89,-133.91,-132.51
1080,-0.08,-0.45,-0.98,-70.7,-73.99,-163.94
1100,-0.18,-0.41,-0.87,-86.87,-95.27,-208.95
1120,-0.12,-0.43,-1.14,-41.86,-155.4,-160.16
1140,-0.03,-0.49,-0.96,-93.1,-172.13,-153.3
1160,0.1,-0.63,-0.77,-129.43,-255.5,-224.07
1180,0.23,-0.57,-0.84,-97.37,-402.01,-205.8
1200,-0.15,-0.65,-0.81,-101.5,-344.54,-78.96
1220,-0.68,-0.64,-0.04,-175.42,-308.7,1.4
1240,-0.94,-0.44,-0.34,-122.78,-172.41,160.44
1260,-1.12,-0.55,-0.57,-70.7,164.08,251.51
1280,-0.95,-0.22,-0.65,58.8,255.29,312.83
1300,-1.22,0.15,-1.03,101.85,124.6,188.86
1320,-0.56,0.13,-0.11,210.0,-92.96,-11.27
1340,-0.46,-0.4,-0.48,112.21,-22.68,-84.0
1360,-0.62,0.1,-0.45,55.58,335.58,64.4
