t,ax,ay,az,gx,gy,gz
23533, 0.44, -1.11, 0.54, -6.44, 67.48, 22.96
23534, 0.63, -1.00, 0.25, -101.78, 39.83, -20.44
23535, 0.52, -1.19, 0.63, -12.53, 60.06, -15.12
23536, 0.48, -1.03, 0.43, -43.54, 29.82, -16.38
23537, 0.28, -0.86, 0.47, 16.45, 24.57, 6.65
23538, 0.17, -0.70, 0.43, 34.30, -6.37, -0.21
23539, 0.16, -0.81, 0.40, 34.16, -44.31, -1.75
23540, 0.26, -0.79, 0.48, 19.60, -73.36, 17.85
23541, 0.41, -0.74, 0.51, 18.55, -54.95, 41.51
23542, 0.50, -0.69, 0.45, 20.65, -41.09, 49.91
23543, 0.60, -0.68, 0.46, 25.62, -26.74, 53.13
23544, 0.68, -0.72, 0.50, 34.30, -13.65, 57.40
23545, 0.67, -0.67, 0.55, 68.81, 15.12, 72.45
23546, 0.57, -0.48, 0.54, 74.34, 20.72, 81.27
23547, 0.52, -0.48, 0.57, 51.38, 21.84, 64.05
23548, 0.32, -0.61, 0.52, 38.36, 33.11, 50.82
23549, 0.20, -0.76, 0.57, 47.04, 15.26, 82.32
23550, 0.18, -0.60, 0.62, 32.55, 10.50, 102.41
23551, 0.21, -0.52, 0.67, -29.33, -8.82, 65.17
23552, 0.31, -0.97, 0.80, -53.06, 23.52, -2.31
23553, 0.18, -0.87, 0.70, -59.01, -5.88, -42.14
23554, 0.23, -0.99, 0.64, -83.93, -4.34, -61.67
23555, 0.10, -1.07, 0.48, -48.65, -34.23, -65.94
23556, 0.28, -0.88, 0.56, 12.32, -28.70, -63.00
23557, 0.34, -0.97, 0.59, -17.08, 5.46, -60.48
23558, 0.42, -0.90, 0.54, -6.58, 29.33, -49.63
23559, 0.38, -0.74, 0.55, 15.19, 28.49, -56.21
23560, 0.37, -0.62, 0.53, 18.06, 32.27, -61.53
23561, 0.33, -0.53, 0.51, 4.41, 31.78, -60.62
23562, 0.45, -0.49, 0.54, -32.55, -9.45, -87.01
23563, 0.54, -0.59, 0.59, -41.93, -7.70, -78.26
23564, 0.56, -0.62, 0.48, -35.00, 9.80, -45.92
23565, 0.53, -0.57, 0.44, -41.09, 23.24, -51.87
23566, 0.46, -0.64, 0.38, -62.09, 3.36, -65.87
23567, 0.46, -0.79, 0.49, -41.09, -32.27, -55.72
23568, 0.65, -0.83, 0.28, -11.27, 17.08, -11.06
23569, 0.60, -0.93, 0.45, -10.78, 48.93, 30.24
23570, 0.59, -1.08, 0.44, -2.80, 38.50, 12.46
23571, 0.59, -1.13, 0.48, -16.38, 57.19, 7.63
23572, 0.47, -1.10, 0.55, 66.08, 29.26, 12.46
23573, 0.42, -0.81, 0.64, 8.19, 24.64, -0.70
23574, 0.26, -0.62, 0.43, -5.32, 8.26, -10.78
23575, 0.23, -0.74, 0.35, 29.19, -28.91, 6.86
23576, 0.36, -0.71, 0.49, 3.78, -38.15, 24.99
23577, 0.47, -0.69, 0.47, 1.82, -13.23, 41.86
23578, 0.54, -0.66, 0.46, 20.44, 1.19, 53.97
23579, 0.59, -0.63, 0.50, 37.59, 12.67, 68.81
23580, 0.63, -0.61, 0.54, 57.75, 25.20, 75.53
23581, 0.54, -0.57, 0.59, 71.96, 17.29, 87.85
23582, 0.34, -0.52, 0.54, 61.88, 26.04, 67.06
23583, 0.17, -0.63, 0.51, 28.21, 14.07, 66.15
23584, 0.19, -0.63, 0.59, 22.19, 5.25, 87.15
23585, 0.27, -0.60, 0.69, -29.47, 28.35, 77.70
23586, 0.38, -0.77, 0.65, -69.16, 14.14, 41.37
23587, 0.25, -1.02, 0.82, -52.99, 31.78, -9.73
23588, 0.12, -0.89, 0.72, -54.74, 13.16, -44.59
23589, 0.16, -0.99, 0.58, -74.48, -0.35, -59.43
23590, 0.12, -0.96, 0.48, -36.68, -28.35, -71.40
23591, 0.19, -0.83, 0.67, -15.40, -34.16, -76.23
23592, 0.29, -0.88, 0.55, -32.13, 14.77, -69.86
23593, 0.34, -0.83, 0.56, -12.32, 28.42, -61.04
23594, 0.35, -0.70, 0.51, 18.62, 21.21, -64.89
23595, 0.35, -0.56, 0.47, 17.92, 6.72, -69.37
23596, 0.41, -0.54, 0.52, -4.13, -30.66, -82.81
23597, 0.50, -0.56, 0.57, -25.97, -19.67, -63.84
23598, 0.55, -0.59, 0.52, -43.89, -17.50, -62.30
23599, 0.47, -0.61, 0.50, -51.45, -20.23, -87.22
23600, 0.50, -0.72, 0.45, -16.38, -22.47, -78.19
23601, 0.54, -0.95, 0.26, -20.16, 9.87, -30.24
23602, 0.49, -0.93, 0.42, -12.39, 31.43, 36.19
23603, 0.56, -0.99, 0.50, 10.43, 30.66, 21.49
23604, 0.71, -1.14, 0.47, -72.31, 39.27, -6.58
23605, 0.46, -1.24, 0.40, 12.88, 16.24, 7.77
23606, 0.32, -0.87, 0.50, 34.02, 7.49, 26.53
23607, 0.24, -0.71, 0.39, 32.62, -12.39, 20.09
23608, 0.31, -0.76, 0.34, 26.67, -29.40, 22.89
23609, 0.40, -0.74, 0.41, 13.09, -31.92, 30.24
23610, 0.50, -0.73, 0.44, 11.34, -13.02, 41.51
23611, 0.54, -0.69, 0.41, 29.26, 1.05, 55.16
23612, 0.57, -0.64, 0.42, 38.71, 6.65, 66.15
23613, 0.59, -0.62, 0.50, 57.19, 19.32, 70.56
23614, 0.55, -0.56, 0.54, 67.48, 16.31, 78.82
23615, 0.42, -0.56, 0.56, 59.50, 14.84, 77.28
23616, 0.31, -0.66, 0.55, 41.02, 27.09, 67.90
23617, 0.18, -0.70, 0.53, 44.31, 7.98, 98.00
