timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.36,-0.09,0.94,86.24,-13.09,40.81
20,-0.34,-0.2,0.89,82.46,-20.02,35.21
40,-0.2,-0.14,0.84,62.86,10.64,34.86
60,-0.26,0.09,0.91,27.51,37.59,69.93
80,-0.42,0.18,1.02,-7.63,33.25,77.14
100,-0.39,0.14,0.95,-45.64,1.19,59.85
120,-0.24,-0.08,1.03,-73.78,-36.26,44.94
140,-0.09,-0.33,0.98,-59.85,-52.29,45.43
160,-0.07,-0.38,0.97,-11.9,-17.29,32.83
180,-0.15,-0.16,0.97,20.37,17.36,45.01
200,-0.21,-0.01,0.97,3.64,30.73,39.62
220,-0.19,-0.07,0.89,-5.18,36.96,35.84
240,-0.23,-0.08,0.91,-5.04,25.13,31.29
260,-0.27,-0.12,0.94,1.33,20.58,30.03
280,-0.3,-0.17,0.98,5.04,35.63,5.18
300,-0.56,-0.16,1.13,-8.4,57.89,-10.15
320,-0.7,-0.1,1.04,-6.93,5.39,-7.0
340,-0.7,-0.03,0.95,-14.21,-41.79,-19.18
360,-0.6,-0.04,0.94,-3.78,-74.83,-45.64
380,-0.46,-0.07,1.03,-4.13,-79.59,-61.95
400,-0.29,-0.09,0.81,-16.94,-66.22,-48.51
420,-0.26,-0.15,0.98,-18.27,-48.09,-31.01
440,-0.24,-0.15,1.03,-14.84,-12.81,-32.55
460,-0.21,-0.12,1.01,-15.54,2.45,-42.28
480,-0.18,-0.09,0.97,-13.37,7.42,-52.57
500,-0.18,-0.08,0.98,-12.46,7.28,-66.43
520,-0.16,-0.06,0.98,-22.54,9.66,-68.32
540,-0.12,-0.08,0.99,-35.7,23.45,-65.45
560,-0.14,-0.16,0.91,-36.82,19.53,-77.49
580,-0.23,-0.26,0.92,-20.44,12.04,-84.91
600,-0.22,-0.33,0.87,-24.01,7.77,-77.28
620,-0.21,-0.35,0.91,-13.65,15.12,-63.42
640,-0.17,-0.34,0.92,-7.07,23.31,-47.81
660,-0.17,-0.33,0.98,-17.43,39.97,-47.46
680,-0.2,-0.4,0.93,-21.21,47.25,-41.51
700,-0.34,-0.46,0.94,-1.96,38.22,-16.87
720,-0.41,-0.54,0.99,34.72,2.17,-7.42
740,-0.34,-0.48,0.92,72.31,-2.17,8.12
760,-0.29,-0.48,1.07,74.76,-1.89,23.52
780,-0.32,-0.32,0.98,65.87,-10.64,55.02
800,-0.33,-0.22,0.96,82.88,-35.28,66.64
820,-0.28,-0.12,0.78,90.16,-53.69,56.28
840,-0.2,-0.16,0.95,67.69,-52.15,53.2
860,-0.18,-0.05,1.03,34.44,-10.99,51.03
880,-0.16,-0.05,1.02,10.22,6.09,49.07
900,-0.13,-0.04,1.07,2.45,7.28,43.61
920,-0.1,-0.01,1.03,-8.12,2.31,57.61
940,-0.07,-0.06,1.02,-15.12,11.27,67.69
960,-0.11,-0.08,0.9,-18.41,17.08,77.63
980,-0.22,-0.12,0.92,6.02,2.66,86.87
1000,-0.26,-0.07,0.9,10.57,-11.97,74.69
1020,-0.25,-0.05,0.98,9.17,-4.48,49.84
1040,-0.24,-0.02,0.9,18.27,10.36,48.72
1060,-0.24,0.02,1.0,7.14,0.42,49.28
1080,-0.24,0.09,1.01,7.98,21.42,52.29
1100,-0.29,-0.01,1.1,-34.86,50.47,10.22
1120,-0.56,-0.0,1.17,-37.38,64.75,2.17
1140,-0.61,0.01,1.0,-27.86,-17.57,-4.76
1160,-0.56,0.03,1.06,-21.42,-59.78,-32.41
1180,-0.37,-0.06,0.97,-29.82,-77.7,-48.16
1200,-0.27,-0.12,0.89,-35.84,-64.26,-43.26
1220,-0.23,-0.18,1.02,-24.29,-37.94,-27.44
1240,-0.22,-0.12,1.0,-17.78,-2.03,-24.57
1260,-0.21,-0.08,0.99,-13.09,2.8,-37.73
1280,-0.17,-0.06,0.97,-13.86,-6.51,-56.07
1300,-0.13,-0.04,0.97,-27.09,-10.15,-62.93
1320,-0.09,-0.04,0.98,-35.07,4.34,-62.37
1340,-0.12,-0.07,0.89,-33.81,12.32,-67.41
1360,-0.2,-0.19,0.94,-22.89,-2.8,-78.96
1380,-0.21,-0.31,0.85,-25.62,-6.72,-68.32
1400,-0.26,-0.31,0.92,-5.25,5.25,-38.43
1420,-0.19,-0.24,0.96,-9.52,0.98,-36.82
1440,-0.14,-0.28,1.01,-29.96,40.32,-32.06
1460,-0.21,-0.29,1.0,-32.13,61.95,-23.45
1480,-0.33,-0.44,1.02,-30.94,46.41,-20.79
1500,-0.33,-0.53,0.98,23.1,17.92,1.4
1520,-0.34,-0.54,1.02,57.61,4.9,24.29
